"Date","Alcohol","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","End.of.Night","Rise.Time","Morning.Feel"
"2013-11-09","FALSE",84,488,40,18,129,306,54,7,1315,"11/10/2013 04:14","11/10/2013 03:55",2
"2013-11-10","FALSE",102,541,12,20,202,265,75,5,1305,"11/11/2013 04:25","11/11/2013 04:05",3
"2013-11-11","FALSE",85,487,44,34,156,286,46,5,1330,"11/12/2013 04:38","11/12/2013 04:00",3
"2013-11-12","FALSE",105,579,5,13,162,345,72,5,1325,"11/13/2013 05:08","11/13/2013 04:50",2
"2013-11-13","FALSE",94,533,16,29,180,297,56,7,1335,"11/14/2013 04:56","11/14/2013 04:40",3
"2013-11-14","FALSE",92,504,12,27,146,281,78,7,1370,"11/15/2013 05:02","11/15/2013 04:55",3
"2013-11-15","FALSE",105,552,17,4,192,284,77,4,1335,"11/16/2013 05:15","11/16/2013 04:50",3
"2013-11-16","FALSE",94,544,17,33,149,330,65,8,1330,"11/17/2013 05:13","11/17/2013 04:50",3
"2013-11-17","FALSE",101,554,39,20,162,317,76,6,1310,"11/18/2013 05:03","11/18/2013 05:00",3
"2013-11-18","FALSE",82,466,18,38,136,268,62,7,1360,"11/19/2013 04:27","11/19/2013 04:00",3
"2013-11-19","FALSE",109,604,2,25,215,325,65,7,1330,"11/20/2013 05:48","11/20/2013 05:40",4
"2013-11-20","FALSE",94,508,12,13,178,273,58,4,1345,"11/21/2013 04:25","11/21/2013 04:15",3
"2013-11-21","FALSE",88,495,24,29,171,253,71,12,1355,"11/22/2013 04:47","11/22/2013 04:35",4
"2013-11-22","FALSE",104,569,10,28,209,295,65,6,1320,"11/23/2013 05:12","11/23/2013 04:55",3
"2013-11-23","FALSE",97,548,2,46,165,321,63,4,1305,"11/24/2013 04:47","11/24/2013 03:45",3
